"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2022","Imprisoned","Aasif Sultan",,"India",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Asif.jpeg_bbcb9b43-7e05-4469-a765-25feaa1ceeea.jpeg","Muzamil Mattoo","Journalist","Imprisoned","N/A","Imprisoned","Staff","Kashmir Narrator","Print Reporter","Human Rights, Politics, War","Print","India","Agra",,"Uttar Pradesh","Agra",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Abduljalil Alsingace",,"Bahrain",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Internet Reporter","Human Rights","Internet","Bahrain","Manama",,,"Manama",,"Local",,,,,,,,,"Anti-state",,,"Yes",,,,"Life","Jaw"
"2022","Imprisoned","Abdullah Shousha",,"Egypt",,,"Male","https://cpj-photos.s3.amazonaws.com/Abdullah%20Shousha-%20photo%20by%20inmate%2C%20obtained%20by%20family-2017-12-28-1514481852707.JPG","Unidentified cellmate OR Shousha","Journalist","Imprisoned","N/A","Imprisoned","Staff","Amgad TV","Broadcast Reporter, Camera Operator, Photographer","Politics","Internet, Television","Egypt","Cairo",,,"Cairo",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","Yes",,,,"Not sentenced","Port Said"
"2022","Imprisoned","Abdulmumin Gadzhiev",,"Russia",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Abdulmumin-Gadjiev_rs.jpg_c2fc5eeb-3a45-4184-ba38-261b2b8870f5.jpeg","Chernovik","Journalist","Imprisoned","N/A","Imprisoned","Staff","Chernovik","Editor,Publisher/Owner","Culture","Internet, Print","Russia","Rostov-on-Don","Dagestan region",,"Rostov-on-Don",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Abdulrahman Farhana",,"Jordan",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Al-Sabeel","Columnist/Commentator","Politics","Internet, Print","Saudi Arabia","Dammam, Eastern Province",,,"Dammam, Eastern Province",,"Foreign",,,,,,,,,"Anti-state",,"10+ Years","Yes",,,,"19 years",
"2022","Imprisoned","Abduqeyum Ablimit",,"China",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Uighurbiz","Internet Reporter","Culture, Human Rights, Politics","Internet","China",,,,,,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced","Unknown"
"2022","Imprisoned","Abdurahman Abey",,"China",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Xinjiang People's Publishing House","Publisher/Owner","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Print","China","Urumqi","Xinjiang",,"Urumqi",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Abdurrahman Öncü",,"Turkey",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Screenshot_20221211_154212_Gallery.jpg_f87c69ad-8f64-4adf-b014-3e90ae0bdff6.jpeg","Mezopotamya News Agency","Journalist","Imprisoned","N/A","Imprisoned","Staff","PEL Production Company","Camera Operator","Culture, Human Rights, Politics","Documentary Film, Internet, Television","Turkey","Diyarbakır",,,"Diyarbakır",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Abdusattor Pirmuhammadzoda",,"Tajikistan",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/AbdusattorPirmuhammadzoda%282%29.png_9cdc86b8-6fe9-472b-b634-7649c5b1f550.png","Abdusattor Pirmuhammadzoda","Journalist","Imprisoned","N/A","Imprisoned","Staff","Abdusattor Pirmuhammadzoda YouTube channel","Internet Reporter, Publisher/Owner","Human Rights","Internet","Tajikistan","Dushanbe",,,"Dushanbe",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","Yes",,,,"Not sentenced",
"2022","Imprisoned","Abid Gafarov",,"Azerbaijan",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","KIM TV","Internet Reporter, Publisher/Owner","Human Rights, Politics, War","Internet","Azerbaijan","Baku",,,"Baku",,"Local",,,,,,,,,"Retaliatory",,"1-5 Years","No",,,,"1 year",
"2022","Imprisoned","Ablajan Siyit",,"China",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Kashgar Publishing House","Editor, Publisher/Owner","Culture","Print","China","Kashgar City","Xinjiang",,"Kashgar City",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Abliz Omer",,"China",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Kashgar Publishing House","Editor, Publisher/Owner","Culture","Print","China",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Adel Benaimah",,"Saudi Arabia",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Columnist/Commentator","Culture, Politics","Internet","Saudi Arabia","Jeddah",,,"Jeddah",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Adel Karimi",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Documentary Filmmaker, Photographer","Culture, Human Rights, Politics, Sports, War","Documentary Film, Internet, Print","Iran","Mahabad",,,"Mahabad",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Afshin Gholami",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Tafakor Enteghadi","Editor, Internet Reporter","Business, Corruption, Crime, Culture, Human Rights, Politics","Internet","Iran",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Ahmed al-Suwian",,"Saudi Arabia",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Al-Bayan","Publisher/Owner","Culture","Internet, Print","Saudi Arabia","Riyadh",,,"Riyadh",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Ahmed Allaam",,"Egypt",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Documentary Filmmaker, Photographer, Internet Reporter, Print Reporter, Producer","Corruption, Culture, Human Rights, Politics","Documentary Film, Internet, Print","Egypt","Cairo",,,"Cairo",,"Local",,,,,,,,,"Anti-state, False News",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Ahmed Fayez",,"Egypt",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Akhbar El-Barlman","Editor, Internet Reporter, Print Reporter","Politics","Internet","Egypt","Cairo",,,"Cairo",,"Local",,,,,,,,,"Anti-state, False News",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Aimable Karasira Uzaramba",,"Rwanda",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/AimableKarasira.png_a30dd86d-43f7-457f-89d7-65edaddb92e1.png","Ukuri Mbona/YouTube","Journalist","Imprisoned","N/A","Imprisoned","Staff","Ukuri Mbona","Columnist/Commentator, Publisher/Owner","Politics","Internet","Rwanda","Kigali",,,"Kigali",,"Local",,,,,,,,,"Anti-state, Ethnic or religious insult, False News",,"Sentence Pending","Yes",,,,"Not sentenced",
"2022","Imprisoned","Akram Raslan",,"Syria",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Al-Fedaa","Columnist/Commentator","Politics","Internet, Print","Syria",,,,,,"Local",,,,,,,,,"Anti-state",,"Life","No",,,,"Life","Unknown"
"2022","Imprisoned","Alaa Abdelfattah",,"Egypt","UK",,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Alaa_Abdelfattah-cap.jpg_d1772a63-17cc-4d3c-9090-bad62b9f668f.jpeg","Mohamed El-Raai","Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Columnist/Commentator, Internet Reporter, Print Reporter","Corruption, Crime, Human Rights, Politics","Internet, Print","Egypt","Cairo",,,"Cairo",,"Local",,,,,,,,,"Anti-state, False News",,"5-10 years","Yes",,,,"5 years","Cairo"
"2022","Imprisoned","Alaaddin Akkaşoğlu",,"Turkey",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Kütahya Akis, Karşı","Publisher/Owner","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Internet, Print","Turkey","Kütahya",,,"Kütahya",,"Local",,,,,,,,,"Anti-state",,"5-10 Years","No",,,,"8 years 9 months",
"2022","Imprisoned","Aleksandr Dorogov",,"Russia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/aleksandr-dorogov - credit_ Andrei Orel.jpg","Andrei Orel","Journalist","Imprisoned","N/A","Imprisoned","Staff","Rosderzhava, Prikluchenie Dorogova i Ego Druzei","Camera Operator, Editor, Photographer, Internet Reporter, Publisher/Owner","Corruption, Culture, Human Rights, Politics","Internet","Russia","Kolomna",,,"Kolomna",,"Local",,,,,,,,,"Retaliatory",,"Sentence Pending","Yes",,,,"Not sentenced",
"2022","Imprisoned","Aleksandr Valov",,"Russia",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","BlogSochi","Editor, Internet Reporter","Corruption, Politics","Internet","Russia","Angarsk","Arkhangelsk region",,"Angarsk",,"Local",,,,,,,,,"Retaliatory",,"5-10 Years","No",,,,"6 years",
"2022","Imprisoned","Ali al-Omari",,"Saudi Arabia",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","4Shabab","Columnist/Commentator, Publisher/Owner","Culture","Internet, Television","Saudi Arabia","Jeddah",,,"Jeddah",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","Yes",,,,"Not sentenced",
"2022","Imprisoned","Ali Khatibzadeh",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Mukrian News Agency","Internet Reporter, Print Reporter","Culture, Human Rights, Politics","Internet, Print","Iran",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Ali Mearaj",,"Bahrain",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Internet Reporter","Politics","Internet","Bahrain","Manama",,,"Manama",,"Local",,,,,,,,,"Anti-state",,"Life","No",,,,"Life","Jaw"
"2022","Imprisoned","Ali Ünal",,"Turkey",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Zaman","Columnist/Commentator","Politics","Internet, Print","Turkey","Izmir",,,"Izmir",,"Local",,,,,,,,,"Anti-state",,"10+ Years","Yes",,,,"19 years 6 months","Unknown"
"2022","Imprisoned","Aliaksandr Ivulin",,"Belarus",,,"Male",,"Tribuna.com Belarus","Journalist","Imprisoned","N/A","Imprisoned","Staff","Tribuna","Internet Reporter","Sports","Internet","Belarus","Ivatsevichy",,,"Ivatsevichy",,"Local",,,,,,,,,"Anti-state",,"1-5 Years","No",,,,"2 years",
"2022","Imprisoned","Aliaksandr Lychauka",,"Belarus",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","The Village","Internet Reporter","Culture, Politics","Internet","Belarus","Minsk",,,"Minsk",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Aliaksandr Lyubyanchuk",,"Belarus",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Belsat TV","Internet Reporter","Politics","Internet","Belarus","Mahilou",,,"Mahilou",,"Local",,,,,,,,,"Anti-state",,"1-5 Years","No",,,,"3 years",
"2022","Imprisoned","Alireza Jabbari-Darestani",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Mehr News Agency","Internet Reporter, Print Reporter","Culture, Human Rights, Politics","Internet, Print","Iran",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Alireza Khoshbakht",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Columnist/Commentator, Internet Reporter, Print Reporter","Culture, Human Rights, Politics","Internet, Print","Iran",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
